Intel(R)_Iris(R)_Xe_Graphics##sys_gpu_3d,NVIDIA_GeForce_RTX_3060_Laptop_GPU##sys_gpu_3d,gpudetect???13532_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,gpudetect???13532_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,mediasdk_server???20492_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,mediasdk_server???20492_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,parfait_crash_handler???11812_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,parfait_crash_handler???11812_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,parfait_crash_handler???11252_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,parfait_crash_handler???11252_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???22828_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???22828_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???17312_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???17312_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???21900_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???21900_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???24944_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???24944_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???20276_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???20276_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???8216_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???8216_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???4716_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???4716_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???8248_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???8248_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???19500_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???19500_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???4272_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???4272_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???15084_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???15084_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???10704_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???10704_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???5804_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???5804_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,tiktok_live_studio???11164_Intel(R)_Iris(R)_Xe_Graphics@@gpu_3d,tiktok_live_studio???11164_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_3d,Intel(R)_Iris(R)_Xe_Graphics##total_gpu_3d,NVIDIA_GeForce_RTX_3060_Laptop_GPU##total_gpu_3d
7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.43,0,0.02,0.06,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,9.76
27.4,0,0.12,0.08,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,18.59
28.18,0,0.17,0.1,0.13,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,14.55
25.2,0,0.09,0.03,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,8.26
22.28,0,0.1,0.11,0,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,13.86
26.6,0,0.13,0.13,0,18.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,18.21
26.01,0,0.04,0.24,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,14.75
25.98,0,0.09,0.04,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,8.48
27.25,0,0.07,0.11,0,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,14.6
29.2,0,0.06,0.13,0,18.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,18.22
28.05,0,0.07,0.14,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,14.69
24.23,0,0.1,0.04,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.44
27.26,0,0.09,0.13,0,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,15.34
22.82,0,0.05,0.05,0,18.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,18.46
25.36,0,0.08,0.08,0,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,18.24
27.27,0,0.08,0.24,0,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,18.48
28.86,0,0.07,0.1,0,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,12.05
29.61,0,0.06,0.05,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,8.47
26.28,0,0.1,0.1,0.18,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,16.66
26.66,0,0.1,0.04,0,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,11.92
25.16,0,0.09,0.01,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,8.25
23.67,0,0.01,0.07,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,17.17
28.63,0,0.12,0.08,0,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,18.83
34.39,0,0.13,0.05,0,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,9.21
27.54,0,0.02,0.03,0,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,8.21
30.23,0,0.05,0.18,0,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,19.93
24.34,0,0.12,0.15,0,17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,17.19
27.4,0,0.07,0.04,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,7.9
33.48,0,0.04,0.02,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,11.35
30.32,0,0.01,0.18,0,18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,18.6
29.88,0,0.05,0.11,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,15.18
29.25,0,0.08,0.04,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,8.06
34.12,0,0.11,0.07,0,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,13.89
27.49,0,0.12,0.23,0.06,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,18.8
24.76,0,0.11,0.19,0.1,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,17.78
29.11,0,0.01,0.13,0,18.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,18.98
31.71,0,0.08,0.06,0,9.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,9.92
32.61,0,0.04,0.05,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,8.11
28.95,0,0.04,0.19,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,18.67
