Intel(R)_Iris(R)_Xe_Graphics##sys_gpu_video_decode,NVIDIA_GeForce_RTX_3060_Laptop_GPU##sys_gpu_video_decode,gpudetect???13532_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,gpudetect???13532_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,mediasdk_server???20492_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,mediasdk_server???20492_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,parfait_crash_handler???11812_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,parfait_crash_handler???11812_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,parfait_crash_handler???11252_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,parfait_crash_handler???11252_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???22828_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???22828_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???17312_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???17312_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???21900_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???21900_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???24944_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???24944_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???20276_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???20276_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???8216_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???8216_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???4716_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???4716_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???8248_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???8248_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???19500_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???19500_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???4272_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???4272_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???15084_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???15084_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???10704_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???10704_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???5804_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???5804_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,tiktok_live_studio???11164_Intel(R)_Iris(R)_Xe_Graphics@@gpu_video_decode,tiktok_live_studio???11164_NVIDIA_GeForce_RTX_3060_Laptop_GPU@@gpu_video_decode,Intel(R)_Iris(R)_Xe_Graphics##total_gpu_video_decode,NVIDIA_GeForce_RTX_3060_Laptop_GPU##total_gpu_video_decode
0.2,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
